Open,Type,Volume,Symbol,O_Price,SL,TP,Close,C_Price,Commissions,Profit,Pips,Trade duration in seconds
14/03/2024 10:35,sell,1.9,EURUSD,1.09366,1.09235,1.09497,14/03/2024 10:50,1.09353,-4.46,-445.05,-1.3,873
12/09/2023 15:44,sell,3,CHFJPY,168.139,0,0,14/03/2024 10:32,168.144,-7.04,-378.35,0.5,161
12/09/2023 15:44,buy,1.7,GBPUSD,1.27963,0,0,14/03/2024 10:17,1.28001,-3.98,-363.2,-3.8,537
12/09/2023 15:44,sell,2.7,EURUSD,1.09385,1.0937,0,14/03/2024 10:07,1.09409,-6.33,-335.33,2.4,317
12/09/2023 15:44,sell,3,EURCHF,0.95955,0,0,11/03/2024 18:33,0.95904,-7.02,-319.61,-5.1,749
20/09/2023 10:35,buy,1.45,EURCHF,0.95955,0,0,11/03/2024 18:33,0.95905,-3.4,299.27,-5,705
22/09/2023 18:57,buy,4.05,CADCHF,0.65152,0.65064,0.6524,06/03/2024 16:32,0.65078,-10,1000.33,-7.4,1716
22/09/2023 19:55,buy,3.6,EURGBP,0.85444,0.85402,0,06/03/2024 12:19,0.85493,-8.48,288.08,4.9,2941
22/09/2023 20:11,buy,2.51,EURGBP,0.85454,0.85402,0,06/03/2024 12:19,0.85495,-5.92,271.06,4.1,4848
22/09/2023 20:24,sell,1.5,USDCAD,1.35946,1.36051,1.35792,05/03/2024 15:45,1.35893,-3.54,227.97,5.3,1992
25/09/2023 10:26,sell,2.77,USDJPY,150.416,150.486,150.346,05/03/2024 14:28,150.424,-6.56,216.33,-0.8,10210
25/09/2023 11:05,sell,2.3,EURGBP,0.85564,0.85607,0.85519,05/03/2024 13:26,0.85564,-5.44,213.5,0,4862
25/09/2023 15:31,buy,2.9,AUDUSD,0.65152,0.65127,0.6524,04/03/2024 20:18,0.65127,-6.86,206.48,-2.5,11338
26/09/2023 11:21,buy,1,AUDUSD,0.65152,0.65107,0.65239,04/03/2024 17:16,0.65141,-2.36,202.69,-1.1,412
26/09/2023 12:12,buy,2,CHFJPY,169.955,0,0,04/03/2024 17:10,169.863,-4.72,200.92,-9.2,538
26/09/2023 16:27,sell,6,AUDUSD,0.65168,0,0,04/03/2024 16:56,0.65191,-14.18,200.24,-2.3,232
28/09/2023 16:25,buy,0.8,EURUSD,1.08415,1.08253,1.08578,29/02/2024 16:34,1.08414,-1.9,196.78,-0.1,1609
02/10/2023 11:11,buy,1.3,EURCHF,0.95194,0.95107,0.95296,28/02/2024 15:59,0.95297,-3.08,189.55,10.3,3193
02/10/2023 11:15,sell,2,CHFJPY,170.854,170.702,171.129,27/02/2024 18:20,171.129,-4.73,-184.22,27.5,4169
02/10/2023 17:02,sell,1.5,AUDCAD,0.8791,0.87854,0.87995,15/02/2024 13:05,0.88003,-3.58,-178.4,9.3,8491
02/10/2023 17:25,sell,0.67,AUDCAD,0.8791,0.87854,0.87995,15/02/2024 10:54,0.87869,-1.6,-176.4,-4.1,620
05/10/2023 09:56,sell,1.5,AUDCAD,0.8791,0.87854,0.87995,15/02/2024 10:53,0.87863,-3.58,-171.75,-4.7,596
09/10/2023 13:18,sell,7.5,CHFJPY,169.737,169.796,0,14/02/2024 14:05,169.794,-15,500,-5.7,1600
11/10/2023 10:24,sell,7,USDJPY,150.624,0,0,14/02/2024 13:38,150.616,-5.86,456.78,0.8,125
11/10/2023 11:26,sell,2.5,USDJPY,150.57,150.649,150.357,14/02/2024 11:59,150.641,-5.98,142.59,-7.1,1511
17/10/2023 16:04,sell,4.5,EURCHF,0.94298,0,0,12/02/2024 12:05,0.9433,-10.7,142.07,-3.2,231
18/10/2023 12:35,sell,1.25,EURNZD,1.7665,1.76771,1.76386,08/02/2024 16:40,1.76772,-2.98,131.91,-12.2,1043
18/10/2023 12:35,sell,0.65,EURNZD,1.76645,1.76769,1.76332,08/02/2024 16:40,1.7677,-1.54,120.3,-12.5,1024
18/10/2023 15:40,sell,1.5,EURNZD,1.76648,0,0,08/02/2024 15:37,1.76771,-3.58,114.55,-12.3,319
18/10/2023 16:12,buy,3.6,EURCHF,0.94101,0,0,08/02/2024 14:20,0.94045,-8.56,102.91,-5.6,1205
18/10/2023 19:35,buy,8,EURCHF,0.94093,0,0.94159,08/02/2024 13:53,0.94083,-19.04,100.95,-1,1795
19/10/2023 10:41,sell,2,EURNZD,1.76405,1.7658,1.76083,07/02/2024 13:31,1.76101,-4.75,97.06,30.4,9137
19/10/2023 10:47,sell,6,AUDCAD,0.8792,0,0,06/02/2024 17:20,0.87988,-14.3,96,-6.8,595
20/10/2023 16:04,buy,3.5,AUDCAD,0.8762,0.8762,0.87783,05/02/2024 23:32,0.87775,-8.38,92.87,15.5,20016
20/10/2023 18:46,buy,3.67,AUDCAD,0.87671,0.87559,0,05/02/2024 17:00,0.87568,-8.77,88.01,-10.3,3075
20/10/2023 21:19,sell,4,USDJPY,148.582,0,0,05/02/2024 15:51,148.589,-9.56,82.32,-0.7,599
23/10/2023 11:18,sell,20,USDCAD,1.34505,1.3453,1.34223,01/02/2024 16:45,1.3422,-4.74,820.07,28.5,2086
23/10/2023 15:44,sell,10,USDCAD,1.34508,1.34626,0,01/02/2024 16:34,1.3435,-2.37,600.64,15.8,1483
23/10/2023 16:35,sell,1.5,USDCAD,1.34508,0,0,01/02/2024 16:12,1.34497,-3.56,59.65,1.1,177
23/10/2023 16:54,sell,2.5,CADCHF,0.64199,0,0,01/02/2024 15:12,0.64163,-5.92,54.69,3.6,473
25/10/2023 14:38,sell,4.46,USDJPY,146.783,146.796,146.729,01/02/2024 13:28,146.797,-10.6,52.6,-1.4,589
26/10/2023 10:04,sell,1.5,EURNZD,1.77225,0,0,01/02/2024 13:24,1.77592,-3.56,50.64,-36.7,3662
27/10/2023 10:49,buy,2.4,EURCHF,0.93396,0,0,29/01/2024 17:44,0.93323,-5.68,46.13,-7.3,3037
01/11/2023 17:12,sell,6.5,EURGBP,0.85258,0,0,29/01/2024 17:38,0.85234,-15.38,41.3,2.4,1491
01/11/2023 17:51,sell,7,CADCHF,0.64232,0.64264,0.6418,29/01/2024 13:56,0.64264,-16.54,40.08,-3.2,446
01/11/2023 17:51,buy,8,AUDUSD,0.65807,0.65802,0.65857,26/01/2024 22:04,0.65801,-18.9,39.9,-0.6,1268
01/11/2023 18:41,buy,9,AUDUSD,0.65795,0,0,26/01/2024 20:56,0.65766,-21.25,32.95,-2.9,901
01/11/2023 18:42,buy,7.47,AUDUSD,0.65808,0,0,26/01/2024 20:56,0.65766,-17.64,13.14,-4.2,1205
